Title,Author,Date,Subgenre,isbn,pageCount,publisher,publishedDate,description,averageRating,ratingsCount,categories,maturityRating
Spellmonger,Terry Mancour,12-01-2025,LitRPG / Portal Fantasy,9781548433574,748,Createspace Independent Publishing Platform,2017-09-20,"MINALAN GETS MEDIEVAL! When you defeat the invading goblin army, get knighted on the field of battle, gifted with lands and gold, usually your happily-ever-after is . . . happy. But now that Minalan the Spellmonger has been ennobled and enfiefed, Sire Minalan has a task cut out for him that makes defeating goblins seem like child's play: moving his very pregnant bride and a few thousand refugees from Boval Vale into the remote, sparsely-peopled Domain of Sevendor. But when he arrives, he finds the land withered from neglect, filled with superstition and suspicion, a third of his domain has been conquered before he got there, and the castle he now owns hasn't been maintained in decades. As Minalan manages the challenges of being a noble, being a mage knight, being the lord of the manor, being a landlord, and fending off a belligerent (and well-armed) neighbor, he also has to learn how to be a husband, father, and a leader of a people. Then the fateful night his son is finally born, Minalan learns the nature of fear, as he, his family, and his very realm are forever changed when the spell he casts to save their lives transforms the land. Minalan, his apprentices Sir Tyndal and Sir Rondal, his dour but efficacious castellan Sir Cei, and his moody wife struggle through the winter and defend their domain in his attempt to prove what a Magelord can do for his people when he puts magic in their service. But in the distance, the threat of a renewed war with the goblins looms as they approach the Riverlands, the Gilmoran baronies that are the heart of the Duchies. The contentious High Magi convene to constitute the new Arcane Orders, while the fanatical Royal Censorate of Magic plots defeat them and the thousands of hedgemagi, witches and footwizards they terrorized now see Minalan as a hero. The sinister Family schemes to promote Duke Rard II to become King Rard I of the newly-united Kingdom of Castalshar - over a pile of bodies, if necessary. And suddenly, out of the sky fall dragons in the service of the Dead God to strike at the strength of the nascent Kingdom. How can Sire Minalan fight goblins, plots, poverty and politics, all from his remote and rustic vale while keeping the peasants in line and the Warbird of West Fleria at bay? With wit, courage, determination, and a healthy dose of magic. And when the new King tasks him to find a way to slay a dragon, an ordinary knight might shy away from the quest. For Sire Minalan, it's just another day on the job as a MAGELORD!",,,Dragons,NOT_MATURE
The Wise Man's Fear,Patrick Rothfuss,11-08-2025,Epic Fantasy,9781101486405,1010,Astra Publishing House,2011-03-01,"Discover book two of Patrick Rothfuss’ #1 New York Times-bestselling epic fantasy series, The Kingkiller Chronicle. “I just love the world of Patrick Rothfuss.” —Lin-Manuel Miranda DAY TWO: THE WISE MAN’S FEAR “There are three things all wise men fear: the sea in storm, a night with no moon, and the anger of a gentle man.” My name is Kvothe. You may have heard of me. So begins a tale told from his own point of view—a story unequaled in fantasy literature. Now in The Wise Man’s Fear, Day Two of The Kingkiller Chronicle, an escalating rivalry with a powerful member of the nobility forces Kvothe to leave the University and seek his fortune abroad. Adrift, penniless, and alone, he travels to Vintas, where he quickly becomes entangled in the politics of courtly society. While attempting to curry favor with a powerful noble, Kvothe uncovers an assassination attempt, comes into conflict with a rival arcanist, and leads a group of mercenaries into the wild, in an attempt to solve the mystery of who (or what) is waylaying travelers on the King's Road. All the while, Kvothe searches for answers, attempting to uncover the truth about the mysterious Amyr, the Chandrian, and the death of his parents. In The Wise Man's Fear, Kvothe takes his first steps on the path of the hero and learns how difficult life can be when a man becomes a legend in his own time.",,,Fiction,NOT_MATURE
I Cheerfully Refuse,Leif Enger,10-26-2025,Climate Fiction,9780802162953,380,Grove Press,2024-04-02,"NATIONAL BESTSELLER • A BARNES & NOBLE BOOK CLUB PICK • A career defining tour-de-force from New York Times bestselling, award-winning and “formidably gifted” (Chicago Tribune) author of Peace Like a River Leif Enger. “A rare, remarkable book to be kept and reread—for its beauty of language, its gentle wisdom and its steady, unflagging hope.” — Laurie Hertzel, Minneapolis Star Tribune A storyteller “of great humanity and huge heart” (Minneapolis Star Tribune), Leif Enger debuted in the literary world with Peace Like a River which sold over a million copies and captured readers’ hearts around the globe. Now comes a new milestone in this boldly imaginative author’s accomplished, resonant body of work. Set in a not-too-distant America, I Cheerfully Refuse is the tale of a bereaved and pursued musician embarking under sail on a sentient Lake Superior in search of his departed, deeply beloved, bookselling wife. Rainy, an endearing bear of an Orphean narrator, seeks refuge in the harbors, fogs and remote islands of the inland sea. Encountering lunatic storms and rising corpses from the warming depths, Rainy finds on land an increasingly desperate and illiterate people, a malignant billionaire ruling class, crumbled infrastructure and a lawless society. Amidst the Gulliver-like challenges of life at sea and no safe landings, Rainy is lifted by physical beauty, surprising humor, generous strangers, and an unexpected companion in a young girl who comes aboard. And as his innate guileless nature begins to make an inadvertent rebel of him, Rainy’s private quest for the love of his life grows into something wider and wilder, sweeping up friends and foes alike in his strengthening wake. I Cheerfully Refuse epitomizes the “musical, sometimes magical and deeply satisfying kind of storytelling” (Los Angeles Times) for which Leif Enger is cherished. A rollicking narrative in the most evocative of settings, this latest novel is a symphony against despair and a rallying cry for the future.",,,Fiction,NOT_MATURE
"First, Break All the Rules",Marcus Buckingham,10-12-2025,Business / Management,9781595620415,368,Simon and Schuster,2014-02-02,"Gallup presents the remarkable findings of its revolutionary study of more than 80,000 managers in First, Break All the Rules, revealing what the world’s greatest managers do differently. With vital performance and career lessons and ideas for how to apply them, it is a must-read for managers at every level. The greatest managers in the world seem to have little in common. They differ in sex, age, and race. They employ vastly different styles and focus on different goals. Yet despite their differences, great managers share one common trait: They do not hesitate to break virtually every rule held sacred by conventional wisdom. They do not believe that, with enough training, a person can achieve anything he sets his mind to. They do not try to help people overcome their weaknesses. They consistently disregard the golden rule. And, yes, they even play favorites. This amazing book explains why. Gallup presents the remarkable findings of its massive in-depth study of great managers across a wide variety of situations. Some were in leadership positions. Others were front-line supervisors. Some were in Fortune 500 companies; others were key players in small entrepreneurial companies. Whatever their situations, the managers who ultimately became the focus of Gallup’s research were invariably those who excelled at turning each employee’s talent into performance. In today’s tight labor markets, companies compete to find and keep the best employees, using pay, benefits, promotions, and training. But these well-intentioned efforts often miss the mark. The front-line manager is the key to attracting and retaining talented employees. No matter how generous its pay or how renowned its training, the company that lacks great front-line managers will suffer. The authors explain how the best managers select an employee for talent rather than for skills or experience; how they set expectations for him or her — they define the right outcomes rather than the right steps; how they motivate people — they build on each person’s unique strengths rather than trying to fix his weaknesses; and, finally, how great managers develop people — they find the right fit for each person, not the next rung on the ladder. And perhaps most important, this research — which initially generated thousands of different survey questions on the subject of employee opinion — finally produced the twelve simple questions that work to distinguish the strongest departments of a company from all the rest. This book is the first to present this essential measuring stick and to prove the link between employee opinions and productivity, profit, customer satisfaction, and the rate of turnover. There are vital performance and career lessons here for managers at every level, and, best of all, the book shows you how to apply them to your own situation.",1,1,Business & Economics,NOT_MATURE
Unfu*k Yourself,Gary John Bishop,10-12-2025,Self-Help,9780062803870,105,HarperCollins,2017-08-01,"Joining the ranks of The Life-Changing Magic of Not Giving a F*ck, The Subtle Art of Not Giving a F*ck, You Are a Badas*, and F*ck Feelings comes this refreshing, BS-free, self-empowerment guide that offers an honest, no-nonsense, tough-love approach to help you move past self-imposed limitations. Are you tired of feeling fu*ked up? If you are, Gary John Bishop has the answer. In this straightforward handbook, he gives you the tools and advice you need to demolish the slag weighing you down and become the truly unfu*ked version of yourself. ''Wake up to the miracle you are,'' he directs. ''Here's what you've forgotten: You're a fu*king miracle of being.'' It isn't other people that are standing in your way, it isn't even your circumstances that are blocking your ability to thrive, it's yourself and the negative self-talk you keep telling yourself. In Unfu*k Yourself, Bishop leads you through a series of seven assertions: I am willing. I am wired to win. I got this. I embrace the uncertainty. I am not my thoughts; I am what I do. I am relentless. I expect nothing and accept everything. Lead the life you were meant to have—Unfu*k Yourself.",,,Health & Fitness,NOT_MATURE
Build a Large Language Model (From Scratch),Sebastian Raschka,10-11-2025,AI / Machine Learning,9781633437166,366,Simon and Schuster,2024-10-29,"From the back cover: Build a Large Language Model (From Scratch) is a practical and eminently-satisfying hands-on journey into the foundations of generative AI. Without relying on any existing LLM libraries, you'll code a base model, evolve it into a text classifier, and ultimately create a chatbot that can follow your conversational instructions. And you'll really understand it because you built it yourself! About the reader: Readers need intermediate Python skills and some knowledge of machine learning. The LLM you create will run on any modern laptop and can optionally utilize GPUs.",,,Computers,NOT_MATURE
The Hungry Brain,Stephan J. Guyenet,10-04-2025,Nutrition Science,9781250081230,300,Flatiron Books,2017-02-07,"A Publishers Weekly Best Book of the Year From an obesity and neuroscience researcher with a knack for engaging, humorous storytelling, The Hungry Brain uses cutting-edge science to answer the questions: why do we overeat, and what can we do about it? No one wants to overeat. And certainly no one wants to overeat for years, become overweight, and end up with a high risk of diabetes or heart disease--yet two thirds of Americans do precisely that. Even though we know better, we often eat too much. Why does our behavior betray our own intentions to be lean and healthy? The problem, argues obesity and neuroscience researcher Stephan J. Guyenet, is not necessarily a lack of willpower or an incorrect understanding of what to eat. Rather, our appetites and food choices are led astray by ancient, instinctive brain circuits that play by the rules of a survival game that no longer exists. And these circuits don’t care about how you look in a bathing suit next summer. To make the case, The Hungry Brain takes readers on an eye-opening journey through cutting-edge neuroscience that has never before been available to a general audience. The Hungry Brain delivers profound insights into why the brain undermines our weight goals and transforms these insights into practical guidelines for eating well and staying slim. Along the way, it explores how the human brain works, revealing how this mysterious organ makes us who we are.",,,Health & Fitness,NOT_MATURE
Bleak Seasons,Glen Cook,09-30-2025,Dark Fantasy / Mercenary,9780312861056,316,Tor Books,1996,"Murgen, the battle-scarred standard-bearer of the Black Company, chronicles the exploits of the Company during the siege of Stormgard, a fortress of the evil Shadowlanders, as the mercenaries risk their lives--and their souls--to claim victory.",,,Fiction,NOT_MATURE
Dreams of Steel,Glen Cook,09-28-2025,Dark Fantasy / Mercenary,9781466831124,354,Macmillan,1990-04-15,"From Glen Cook, the godfather of Grimdark, comes the fifth book in the Chronicles of The Black Company—an epic military fantasy series, with millions of copies in print. Croaker has fallen and, following the Company's disastrous defeat at Dejagore, Lady is one of the few survivors—determined to avenge the Company and herself against the Shadowmasters, no matter what the cost. But in assembling a new fighting force from the dregs and rabble of Taglios, she finds herself offered help by a mysterious, ancient cult of murder—competent, reliable, and apparently committed to her goals. Meanwhile, far away, Shadowmasters conspire against one another and the world, weaving dark spells that reach into the heart of Taglios. And in a hidden grove, a familiar figure slowly awakens to find himself the captive of an animated, headless corpse. Mercilessly cutting through Taglian intrigues, Lady appears to be growing stronger every day. All that disturbs her are the dreams which afflict her by night—dreams of carnage, of destruction, of universal death, unceasing... “With the Black Company series Glen Cook single-handedly changed the face of fantasy.”—New York Times bestselling author Steven Erikson Chronicles of The Black Company The Black Company (The First Chronicle) Shadows Linger (The Second Chronicle) The White Rose (The Third Chronicle) The Silver Spike Shadow Games (The First Book of the South) Dreams of Steel (The Second Book of the South) Bleak Seasons (Book One of Glittering Stone) She Is the Darkness (Book Two of Glittering Stone) Water Sleeps (Book Three of Glittering Stone) Soldiers Live (Book Four of Glittering Stone) Port of Shadows Lies Weeping (Book One of A Pitiless Rain) Omnibus editions: Chronicles of the Black Company (comprising The Black Company, Shadows Linger, and The White Rose) The Books of the South (comprising Shadow Games, Dreams of Steel, and The Silver Spike) Return of the Black Company (comprising Bleak Seasons and She Is the Darkness) The Many Deaths of the Black Company (comprising Water Sleeps and Soldiers Live) At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",,,Fiction,NOT_MATURE
Shadow Games,Glen Cook,09-26-2025,Dark Fantasy / Mercenary,9780812533828,319,Macmillan,1989-06-15,Fantasy.,,,Fiction,NOT_MATURE
The Silver Spike,Glen Cook,09-20-2025,Dark Fantasy / Mercenary,9780812502206,319,Macmillan,1989-09-15,Dark Lords battle for a spike which holds incredible powers. A band of thieves gets there first and unleashes a malign spirit onto the world.,,,Fiction,NOT_MATURE
The White Rose,Glen Cook,09-11-2025,Dark Fantasy / Mercenary,9780812508444,324,Macmillan,1990-04-15,Fantasy-roman.,4,5,Fiction,NOT_MATURE
Shadows Linger,Glen Cook,09-04-2025,Dark Fantasy / Mercenary,9780812533729,321,Macmillan,1984,"Mercenary soldiers in the service of the Lady, the Black Company stands against the rebels of the White Rose. They are tough men, proud of honoring their contracts, even though the Lady is evil. They rescue a mute girl who is the White Rose reborn and discover a path to the light--if they survive.",,,Fiction,NOT_MATURE
The Black Company,Glen Cook,08-26-2025,Dark Fantasy / Mercenary,9781466831094,324,Tor Books,1992-03-15,"Some feel the Lady, newly risen from centuries in thrall, stands between humankind and evil. Some feel she is evil itself. The hardbitten men of the Black Company take their pay and do what they must, burying their doubts with their dead. Until the prophesy: The White Rose has been reborn, somewhere, to embody good once more. There must be a way for the Black Company to find her... At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",4,1,Fiction,NOT_MATURE
